,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBines,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain
28,43.0,3,141349.43,1,1,1,100187.43,0,0.0,True,False,False,True,False
29,38.91,0,59697.17,2,1,1,53483.21,0,0.0,False,True,True,False,False
30,39.0,3,0.0,3,1,0,140469.38,1,1.0,True,False,False,False,True
31,38.91,7,85311.7,1,0,1,156731.91,0,0.0,False,True,True,False,False
32,41.0,9,110112.54,2,0,0,81898.81,0,0.0,False,True,False,True,False
33,38.91,6,0.0,2,1,1,34410.55,0,0.0,True,False,False,False,True
34,29.0,9,0.0,2,1,1,142033.07,0,2.0,True,False,False,False,True
35,38.91,0,134264.04,1,1,0,27822.99,1,0.0,True,False,True,False,False
36,31.0,3,145260.23,1,0,1,114066.77,0,0.0,True,False,False,False,True
37,33.0,7,76548.6,1,0,1,98453.45,0,4.0,False,True,False,False,True
38,36.0,7,0.0,1,1,1,40812.9,0,,False,True,True,False,False
39,38.91,6,70349.48,2,0,1,178074.04,0,1.0,False,True,False,True,False
40,40.0,4,0.0,1,1,0,70154.22,0,0.0,False,True,False,False,True
41,51.0,8,122522.32,1,0,0,181297.65,1,0.0,True,False,True,False,False
42,61.0,2,117419.35,1,1,1,94153.83,0,0.0,True,False,True,False,False
43,49.0,2,131394.56,1,0,0,194365.76,1,4.0,True,False,True,False,False
44,38.91,5,155931.11,1,1,1,158338.39,0,1.0,True,False,False,False,True
45,32.0,4,109421.13,2,1,1,126517.46,0,3.0,True,False,False,True,False
46,27.0,9,112045.67,1,1,1,119708.21,1,4.0,True,False,False,True,False
47,39.0,9,137843.8,1,1,1,117622.8,1,1.0,True,False,False,True,False
48,38.0,2,103391.38,1,0,1,90878.13,0,0.0,False,True,False,True,False
49,37.0,2,103769.22,2,1,0,194099.12,0,3.0,True,False,False,True,False
50,44.0,10,116363.37,2,1,0,198059.16,0,2.0,False,True,False,True,False
51,36.0,5,146050.97,2,0,0,86424.57,0,1.0,False,True,False,True,False
52,33.0,5,0.0,2,0,0,116978.19,0,3.0,True,False,True,False,False
53,41.0,8,125561.97,1,0,0,164040.94,1,1.0,False,True,False,True,False
54,42.0,1,98495.72,1,1,0,40014.76,1,1.0,False,True,False,True,False
55,43.0,1,125211.92,1,1,1,113410.49,0,1.0,False,True,True,False,False
56,45.0,5,127864.4,1,1,0,87107.57,0,1.0,False,True,True,False,False
57,19.0,0,75888.2,1,0,0,45613.75,0,2.0,False,True,False,True,False
58,66.0,4,0.0,1,1,0,1643.11,1,0.0,True,False,False,False,True
59,51.0,4,40685.92,1,1,1,46775.28,0,1.0,False,True,True,False,False
60,35.0,5,136857.0,1,0,0,84509.57,0,3.0,False,True,False,True,False
61,27.0,9,152328.88,2,0,0,126494.82,0,2.0,True,False,False,True,False
62,33.0,1,56084.69,2,0,0,178798.13,0,0.0,False,True,False,False,True
63,56.0,8,78707.16,1,1,1,99398.36,0,2.0,False,True,False,False,True
64,26.0,4,109166.37,1,1,1,92840.67,0,1.0,False,True,False,True,False
65,36.0,6,169831.46,2,1,1,27758.36,0,3.0,True,False,False,True,False
66,34.0,1,101633.04,1,1,0,110431.51,0,1.0,True,False,False,True,False
67,43.0,10,123180.01,2,1,1,196673.28,0,2.0,False,True,False,True,False
68,35.0,5,150725.53,2,0,1,113656.85,0,1.0,True,False,False,True,False
69,21.0,8,98373.26,1,1,0,18203.0,0,2.0,True,False,True,False,False
70,58.0,2,133745.44,4,1,0,28373.86,1,2.0,False,True,False,True,False
71,29.0,6,0.0,1,1,0,33953.87,0,4.0,False,True,True,False,False
72,37.0,0,163607.18,1,0,1,44203.55,0,1.0,True,False,False,False,True
73,25.0,5,157780.84,2,1,1,58426.81,0,1.0,True,False,False,True,False
74,36.0,9,0.0,2,0,1,145562.4,0,0.0,False,True,True,False,False
75,21.0,1,178718.19,2,1,0,22388.0,0,2.0,True,False,True,False,False
76,55.0,8,0.0,2,1,1,139161.64,0,1.0,False,True,True,False,False
77,32.0,9,0.0,1,1,1,148210.64,0,2.0,True,False,True,False,False
78,33.0,5,77253.22,1,0,1,194239.63,0,3.0,False,True,False,False,True
79,41.0,10,122189.66,2,1,0,98301.61,0,0.0,True,False,False,True,False
80,38.91,1,96645.54,2,0,0,171413.66,0,1.0,True,False,True,False,False
81,32.0,2,0.0,1,1,0,136458.19,1,3.0,True,False,True,False,False
82,36.0,3,0.0,2,0,0,26019.59,0,0.0,True,False,True,False,False
83,34.0,4,90307.62,1,1,1,159235.29,0,0.0,True,False,True,False,False
84,46.0,4,0.0,2,1,0,1907.66,0,0.0,True,False,True,False,False
85,75.0,10,0.0,2,1,1,114675.75,0,1.0,True,False,False,False,True
86,22.0,3,121681.82,1,1,0,128643.35,1,3.0,False,True,False,False,True
87,30.0,9,0.0,2,1,0,151869.35,0,2.0,False,True,True,False,False
88,38.91,4,0.0,3,1,0,93251.42,1,1.0,True,False,True,False,False
89,28.0,3,81623.67,2,1,1,156791.36,0,1.0,True,False,False,True,False
90,44.0,5,0.0,3,1,1,174205.22,1,1.0,True,False,False,False,True
91,45.0,7,118626.55,2,1,0,147132.46,0,4.0,False,True,True,False,False
92,38.91,10,0.0,2,1,0,109614.57,0,0.0,True,False,True,False,False
93,29.0,8,0.0,2,1,1,172290.61,0,3.0,False,True,True,False,False
94,42.0,4,0.0,2,0,1,85982.47,0,2.0,False,True,False,False,True
95,35.0,10,176273.95,1,0,1,121277.78,0,0.0,False,True,False,False,True
96,38.91,9,102827.44,1,0,1,64595.25,0,3.0,False,True,False,False,True
97,29.0,8,97086.4,2,1,1,197276.13,0,4.0,False,True,False,True,False
98,22.0,8,0.0,2,0,0,99645.04,0,2.0,False,True,False,False,True
99,34.0,9,0.0,2,0,0,6534.18,0,0.0,False,True,True,False,False
100,40.0,6,0.0,1,1,1,161848.03,0,1.0,True,False,True,False,False
101,44.0,6,0.0,2,0,0,167162.43,0,1.0,True,False,True,False,False
102,31.0,9,82674.15,1,1,0,41970.72,0,2.0,False,True,True,False,False
103,36.0,7,0.0,2,1,0,60536.56,0,0.0,False,True,False,False,True
104,65.0,1,0.0,1,1,1,177655.68,1,2.0,True,False,False,False,True
105,38.91,4,107073.27,2,1,1,30984.59,1,1.0,True,False,False,False,True
106,38.91,1,88938.62,1,1,1,10054.53,0,1.0,False,True,False,True,False
107,38.91,2,99806.85,1,0,1,36976.52,0,3.0,True,False,False,True,False
108,33.0,5,150092.8,1,0,0,71862.79,0,1.0,False,True,False,False,True
109,35.0,9,92833.89,1,1,0,99449.86,1,0.0,False,True,False,True,False
110,30.0,3,90536.81,1,0,1,63082.88,0,2.0,False,True,False,True,False
111,39.0,7,108055.1,2,1,0,27231.26,0,0.0,False,True,False,True,False
112,42.0,2,100238.35,1,0,0,86797.41,0,0.0,False,True,True,False,False
113,36.0,9,106190.55,1,0,1,22994.32,0,2.0,False,True,False,False,True
114,28.0,9,154475.54,2,0,1,101300.94,1,2.0,False,True,False,True,False
115,30.0,9,132351.29,2,1,1,74169.13,0,1.0,True,False,False,True,False
116,37.0,6,167864.4,1,1,0,115638.29,0,1.0,True,False,False,True,False
117,41.0,1,0.0,2,1,0,31766.3,0,0.0,True,False,True,False,False
118,31.0,8,107818.63,1,1,0,199725.39,1,0.0,True,False,False,True,False
119,38.91,4,185173.81,2,1,0,120834.48,0,2.0,False,True,False,True,False
120,34.0,8,129433.34,2,0,0,38131.77,0,4.0,False,True,True,False,False
121,39.0,6,120193.42,1,0,0,100130.95,0,2.0,False,True,False,False,True
122,39.0,6,0.0,2,1,0,141069.88,0,1.0,True,False,True,False,False
123,48.0,10,126384.42,1,1,1,198129.36,0,2.0,True,False,False,True,False
124,28.0,3,0.0,1,0,0,183646.41,0,1.0,True,False,True,False,False
125,42.0,9,152603.45,1,1,0,110265.24,1,0.0,False,True,True,False,False
126,52.0,1,0.0,1,0,1,8636.05,1,0.0,True,False,True,False,False
127,56.0,0,148507.24,1,1,0,46824.08,1,1.0,False,True,False,True,False
128,41.0,7,0.0,2,1,0,171378.77,0,4.0,True,False,True,False,False
129,24.0,9,101827.07,1,1,0,167256.35,0,3.0,False,True,True,False,False
130,34.0,3,0.0,2,1,1,124226.16,0,3.0,True,False,True,False,False
131,38.91,9,130862.43,1,1,1,114935.21,0,3.0,True,False,False,True,False
132,38.0,9,122570.87,1,1,1,35608.88,0,2.0,False,True,True,False,False
133,25.0,1,0.0,2,0,1,16459.37,0,2.0,False,True,True,False,False
134,39.0,7,124828.46,2,1,1,124411.08,0,3.0,False,True,False,True,False
135,50.0,5,144895.05,2,1,1,34941.23,0,1.0,True,False,False,True,False
136,34.0,5,63663.93,1,0,1,167784.28,0,0.0,True,False,False,True,False
137,40.0,2,133463.1,1,0,1,93165.34,0,1.0,False,True,True,False,False
138,48.0,2,213146.2,1,1,0,75161.25,1,1.0,True,False,False,False,True
139,35.0,1,129490.36,2,0,1,8590.83,1,0.0,True,False,False,False,True
140,44.0,10,137452.09,1,1,0,189543.9,0,3.0,False,True,False,True,False
141,34.0,7,0.0,2,1,1,180427.24,0,1.0,False,True,True,False,False
142,43.0,5,125851.93,1,1,1,193318.33,0,2.0,True,False,True,False,False
143,52.0,2,0.0,1,1,0,159123.82,1,3.0,False,True,False,False,True
144,31.0,5,40915.55,1,1,0,126213.84,1,2.0,True,False,True,False,False
145,21.0,5,113157.22,1,1,1,54141.5,0,0.0,True,False,False,False,True
146,29.0,8,138296.94,2,1,0,141075.51,0,1.0,True,False,False,False,True
147,37.0,5,106967.18,1,0,0,24495.03,0,1.0,False,True,True,False,False
148,44.0,9,120681.63,1,1,0,74836.34,0,2.0,False,True,True,False,False
149,32.0,0,0.0,2,0,1,878.87,0,0.0,False,True,True,False,False
150,32.0,7,0.0,2,1,0,89520.75,0,3.0,True,False,False,False,True
151,48.0,9,0.0,1,1,0,149892.79,1,0.0,True,False,True,False,False
152,42.0,8,0.0,2,1,0,180800.42,0,2.0,False,True,False,False,True
153,37.0,2,127609.59,1,1,0,98646.22,0,0.0,False,True,True,False,False
154,43.0,6,0.0,2,1,1,109041.53,0,1.0,True,False,True,False,False
155,57.0,7,0.0,1,1,0,17941.16,1,2.0,False,True,False,False,True
156,33.0,7,0.0,2,0,0,82996.47,0,3.0,True,False,True,False,False
157,28.0,2,0.0,2,1,1,92067.35,0,1.0,True,False,False,False,True
158,73.0,6,97259.25,1,0,1,104719.66,0,1.0,True,False,True,False,False
159,33.0,4,123246.7,1,0,0,112687.57,0,1.0,True,False,False,True,False
160,22.0,6,101060.25,1,0,1,84699.56,0,2.0,True,False,False,False,True
161,30.0,2,0.0,2,1,0,83473.82,0,2.0,False,True,True,False,False
162,49.0,7,108007.36,1,0,0,47125.11,0,4.0,True,False,True,False,False
163,36.0,2,0.0,2,1,1,106977.8,0,2.0,True,False,False,False,True
164,29.0,0,133702.89,1,1,0,55582.54,1,2.0,False,True,False,False,True
165,31.0,9,125189.75,2,1,1,139874.43,0,1.0,False,True,False,True,False
166,24.0,7,113034.22,1,1,0,162503.48,1,2.0,True,False,False,True,False
167,41.0,9,109013.23,1,1,0,196499.96,0,1.0,True,False,False,False,True
168,39.0,2,0.0,2,1,0,40721.24,1,1.0,True,False,False,False,True
169,24.0,9,57929.81,2,0,0,53134.3,0,2.0,False,True,False,True,False
170,29.0,4,130114.39,1,1,0,164017.89,0,0.0,True,False,True,False,False
171,27.0,5,95826.49,2,1,0,155996.96,0,1.0,False,True,False,True,False
172,44.0,10,129608.57,1,1,0,5472.7,1,0.0,False,True,False,True,False
173,30.0,4,169462.09,1,1,0,112187.11,0,0.0,False,True,True,False,False
174,40.0,5,0.0,2,1,1,146457.83,0,0.0,False,True,True,False,False
175,35.0,7,133868.21,1,1,1,27286.1,0,0.0,True,False,False,False,True
176,30.0,0,0.0,2,1,1,130553.47,0,0.0,True,False,True,False,False
177,36.0,5,190479.48,2,0,0,179351.89,0,1.0,False,True,False,True,False
178,40.0,8,101993.12,1,0,1,94774.12,0,1.0,True,False,False,False,True
179,55.0,3,161608.81,1,1,0,8080.85,1,3.0,True,False,False,True,False
180,45.0,2,122311.21,1,1,1,19482.5,0,,True,False,False,False,True
181,65.0,2,0.0,2,1,1,48071.61,0,0.0,False,True,True,False,False
182,45.0,1,162150.42,2,1,0,174531.27,0,3.0,True,False,False,True,False
183,42.0,2,0.0,2,1,1,55470.78,0,1.0,False,True,True,False,False
184,50.0,4,0.0,1,1,1,8546.87,1,4.0,True,False,True,False,False
185,32.0,8,0.0,2,1,0,95857.18,0,0.0,False,True,True,False,False
186,39.0,1,99010.67,1,1,0,194945.8,0,2.0,True,False,True,False,False
187,37.0,0,0.0,1,0,1,131521.72,0,0.0,True,False,False,False,True
188,30.0,5,0.0,2,0,1,196108.51,0,1.0,False,True,False,False,True
189,34.0,7,111388.18,2,1,0,148564.76,0,2.0,True,False,False,True,False
190,41.0,8,56214.85,2,0,0,92982.61,1,2.0,True,False,True,False,False
191,36.0,3,84327.77,2,1,0,17675.36,0,0.0,True,False,True,False,False
192,40.0,1,0.0,2,0,0,114996.43,0,0.0,False,True,True,False,False
193,32.0,8,93012.89,1,1,0,86957.42,0,1.0,False,True,True,False,False
194,29.0,9,61710.44,2,1,0,128077.8,0,1.0,False,True,False,False,True
195,35.0,3,174790.15,1,1,1,600.36,0,4.0,False,True,True,False,False
196,32.0,6,0.0,2,1,1,43001.46,0,1.0,True,False,False,False,True
197,37.0,3,107720.64,1,1,1,158591.12,0,2.0,False,True,False,True,False
198,57.0,10,0.0,2,1,1,47847.19,0,0.0,False,True,True,False,False
199,35.0,6,96423.84,1,1,0,10488.44,0,0.0,False,True,True,False,False
200,30.0,2,141040.01,1,1,1,5978.2,0,,False,True,False,False,True
201,42.0,4,105420.18,1,0,1,121409.06,0,3.0,False,True,True,False,False
202,50.0,5,0.0,1,0,1,146145.93,1,0.0,False,True,False,False,True
203,38.0,2,129022.06,2,1,1,14374.86,1,2.0,True,False,True,False,False
204,33.0,3,176666.62,1,1,0,94670.77,0,0.0,False,True,False,False,True
205,37.0,3,0.0,1,1,1,179670.31,0,0.0,False,True,True,False,False
206,41.0,3,89763.84,1,0,0,199304.74,1,1.0,True,False,False,False,True
207,34.0,5,134954.53,1,1,1,151954.39,0,1.0,False,True,True,False,False
208,45.0,5,0.0,1,1,0,142513.5,1,1.0,False,True,True,False,False
209,45.0,2,106376.85,1,0,1,158264.62,0,2.0,False,True,True,False,False
210,33.0,2,161814.64,2,1,0,169381.9,0,2.0,False,True,False,True,False
211,31.0,8,0.0,2,1,1,169915.02,0,1.0,False,True,True,False,False
212,41.0,9,0.0,2,0,0,88852.47,0,1.0,True,False,True,False,False
213,34.0,1,63095.01,1,1,1,40645.81,0,2.0,True,False,True,False,False
214,26.0,4,118287.01,2,0,0,60427.3,0,0.0,False,True,False,True,False
215,47.0,7,106854.21,1,0,1,157959.02,1,1.0,False,True,False,True,False
216,46.0,7,49512.55,1,1,0,133007.34,0,2.0,False,True,True,False,False
217,33.0,9,0.0,2,0,0,176576.62,0,2.0,True,False,False,False,True
218,43.0,1,105799.32,2,1,0,34888.04,1,4.0,False,True,True,False,False
219,54.0,8,0.0,1,1,1,28737.71,1,1.0,False,True,True,False,False
220,31.0,9,114722.05,2,1,1,98178.57,0,2.0,True,False,True,False,False
221,30.0,7,0.0,1,0,1,125010.24,0,0.0,False,True,False,False,True
222,42.0,2,0.0,2,1,1,167984.61,0,0.0,False,True,True,False,False
223,33.0,10,0.0,1,1,0,4861.72,1,,False,True,True,False,False
224,45.0,6,99564.22,1,1,1,108872.45,1,2.0,False,True,False,True,False
225,37.0,4,170557.91,2,1,0,198252.88,0,2.0,False,True,True,False,False
226,30.0,9,0.0,2,1,1,26960.31,0,2.0,True,False,True,False,False
227,39.0,6,74596.15,3,1,1,85746.52,1,0.0,True,False,False,True,False
228,50.0,2,96888.39,1,1,0,77206.25,1,3.0,False,True,False,True,False
229,29.0,3,130830.22,1,1,0,61048.53,0,1.0,True,False,False,True,False
230,72.0,1,0.0,2,0,1,111981.19,0,2.0,False,True,True,False,False
231,40.0,0,0.0,2,1,0,62232.6,0,1.0,False,True,True,False,False
232,37.0,1,0.0,2,0,1,156105.03,0,0.0,True,False,True,False,False
233,20.0,3,119714.25,2,0,1,150135.38,0,3.0,False,True,False,True,False
234,67.0,5,113978.97,2,0,1,93146.11,0,1.0,True,False,True,False,False
235,42.0,6,100160.75,1,1,0,33462.94,1,3.0,False,True,False,True,False
236,29.0,2,0.0,1,1,1,144375.0,0,2.0,True,False,True,False,False
237,43.0,3,116220.5,3,1,0,55803.96,1,0.0,True,False,False,True,False
238,46.0,2,0.0,3,1,0,89048.46,1,1.0,True,False,True,False,False
239,28.0,2,81173.83,2,0,1,162812.16,0,2.0,False,True,True,False,False
240,38.0,4,0.0,2,1,0,136259.65,0,1.0,False,True,False,False,True
241,39.0,5,116803.8,1,1,0,124052.97,0,2.0,True,False,False,True,False
242,37.0,8,105961.68,2,0,1,74158.8,0,2.0,False,True,True,False,False
243,67.0,6,117411.6,1,1,1,45071.09,1,1.0,False,True,False,True,False
244,34.0,7,0.0,2,1,0,62030.06,0,0.0,False,True,False,False,True
245,40.0,10,123497.58,1,1,0,131953.23,1,1.0,True,False,True,False,False
246,26.0,7,152400.51,2,1,0,79414.0,0,3.0,False,True,False,True,False
247,26.0,1,0.0,2,1,1,199638.56,0,0.0,True,False,True,False,False
248,24.0,8,103097.85,1,1,1,157577.29,0,1.0,False,True,False,True,False
249,54.0,8,126418.14,1,1,0,134420.75,1,2.0,False,True,False,True,False
250,36.0,5,77846.9,1,0,0,99805.99,0,3.0,True,False,False,True,False
251,38.91,1,0.0,2,1,1,97932.68,0,1.0,False,True,False,False,True
252,79.0,0,0.0,2,0,1,170968.99,0,2.0,True,False,True,False,False
253,37.0,2,79731.91,1,1,1,57558.95,0,0.0,False,True,False,True,False
254,28.0,8,0.0,1,0,0,176713.47,0,2.0,False,True,False,False,True
255,41.0,0,0.0,2,0,1,34283.23,0,3.0,False,True,False,False,True
256,34.0,10,0.0,2,1,1,198637.34,0,2.0,False,True,True,False,False
257,34.0,6,37266.67,2,0,0,156917.12,0,2.0,True,False,False,True,False
258,30.0,6,127992.25,1,1,1,50457.2,0,2.0,True,False,True,False,False
259,38.91,3,54901.01,1,1,1,140075.55,0,,False,True,False,True,False
260,42.0,9,108748.08,2,1,1,65323.11,0,2.0,False,True,False,True,False
261,48.0,6,99906.19,1,1,0,64323.24,0,2.0,True,False,False,False,True
262,32.0,6,184686.41,2,1,0,14956.44,0,0.0,True,False,True,False,False
263,26.0,0,110654.02,1,0,1,111879.21,0,2.0,True,False,True,False,False
264,31.0,9,79019.8,1,1,1,18606.23,0,2.0,False,True,False,False,True
265,38.91,9,99240.51,1,1,0,123137.01,0,0.0,True,False,False,False,True
266,34.0,2,0.0,2,1,1,148528.24,0,0.0,False,True,True,False,False
267,36.0,7,0.0,2,1,0,13898.31,0,1.0,False,True,True,False,False
268,39.0,7,0.0,1,0,0,81259.25,1,0.0,True,False,False,False,True
269,35.0,7,52436.2,1,1,0,161051.75,0,3.0,True,False,False,True,False
270,41.0,9,0.0,2,0,1,191599.67,0,1.0,False,True,False,False,True
271,34.0,3,100337.96,3,1,0,48559.19,1,2.0,False,True,False,True,False
272,34.0,1,149297.19,2,1,1,186339.74,0,4.0,True,False,False,True,False
273,30.0,8,0.0,2,1,0,33159.37,0,2.0,False,True,True,False,False
274,28.0,4,145605.44,1,0,1,93883.53,0,2.0,False,True,False,True,False
275,37.0,7,0.0,2,1,1,110899.3,0,2.0,True,False,False,False,True
276,62.0,3,0.0,1,1,1,11199.04,1,3.0,False,True,True,False,False
277,38.91,10,0.0,2,1,0,189992.97,0,3.0,True,False,True,False,False
278,35.0,6,84026.86,1,0,1,164255.69,0,1.0,False,True,True,False,False
279,46.0,1,0.0,1,1,0,152167.79,1,2.0,False,True,True,False,False
280,39.0,8,0.0,2,1,1,33949.67,0,3.0,False,True,True,False,False
281,29.0,10,0.0,2,1,1,68143.93,0,3.0,False,True,False,False,True
282,35.0,4,138718.92,1,1,1,47251.79,1,0.0,False,True,False,True,False
283,42.0,7,118274.71,1,1,1,25885.72,0,4.0,False,True,True,False,False
284,22.0,8,174185.98,2,0,1,192633.85,0,3.0,True,False,True,False,False
285,40.0,7,113208.86,2,1,0,34577.36,0,2.0,False,True,True,False,False
286,29.0,5,103907.28,1,1,0,161229.84,0,1.0,False,True,False,False,True
287,32.0,8,119023.28,1,1,0,100816.29,0,0.0,True,False,True,False,False
288,26.0,5,166297.89,1,1,1,181694.44,0,3.0,True,False,False,False,True
289,34.0,10,0.0,2,1,0,79078.91,0,1.0,False,True,False,False,True
290,42.0,9,63227.0,1,0,1,137316.32,0,2.0,False,True,False,True,False
291,41.0,5,94521.17,2,1,0,194926.86,0,3.0,True,False,False,False,True
292,27.0,7,0.0,2,1,0,51285.49,0,1.0,False,True,True,False,False
293,34.0,9,112822.26,1,0,0,150401.53,1,3.0,True,False,False,False,True
294,38.0,3,0.0,2,1,1,112491.96,0,2.0,False,True,True,False,False
295,25.0,2,135903.33,1,1,0,73656.38,0,3.0,False,True,True,False,False
296,31.0,4,125169.26,1,1,1,106636.89,0,2.0,True,False,True,False,False
297,44.0,7,0.0,3,1,0,155853.52,1,2.0,True,False,False,False,True
298,58.0,0,149117.31,1,1,1,162599.51,0,0.0,False,True,True,False,False
299,33.0,5,0.0,2,1,1,103737.82,0,1.0,False,True,True,False,False
300,31.0,10,0.0,2,1,0,160990.27,0,2.0,True,False,True,False,False
301,36.0,6,132311.71,1,0,0,15462.84,0,1.0,True,False,False,False,True
302,35.0,8,0.0,2,1,0,10334.05,0,2.0,False,True,True,False,False
303,33.0,6,0.0,2,1,1,190686.16,0,2.0,True,False,True,False,False
304,38.91,4,118082.89,1,0,0,94440.45,0,0.0,False,True,True,False,False
305,31.0,1,119266.69,1,1,1,28257.63,0,1.0,False,True,True,False,False
306,43.0,2,0.0,1,1,1,170034.95,1,2.0,False,True,True,False,False
307,35.0,7,156847.29,2,1,0,31824.29,0,1.0,True,False,False,True,False
308,50.0,4,137104.47,1,1,0,127166.49,1,1.0,False,True,True,False,False
309,31.0,8,78398.69,1,1,0,44937.01,0,0.0,False,True,False,True,False
310,80.0,4,0.0,2,1,1,188603.07,0,1.0,True,False,True,False,False
311,38.91,6,63669.42,1,1,0,145111.37,0,2.0,False,True,False,True,False
312,38.0,3,0.0,2,0,0,171463.83,0,1.0,False,True,True,False,False
313,59.0,0,135296.33,1,1,0,182822.5,0,4.0,True,False,False,True,False
314,36.0,2,153804.44,1,1,1,87213.33,0,3.0,False,True,False,False,True
315,37.0,3,0.0,2,0,0,57175.32,0,0.0,False,True,False,False,True
316,49.0,2,147069.78,1,1,0,120540.83,1,0.0,False,True,True,False,False
317,42.0,9,0.0,2,1,1,28714.34,0,2.0,False,True,False,False,True
318,22.0,3,0.0,1,1,0,85426.28,0,1.0,True,False,False,False,True
319,24.0,4,95741.75,1,1,0,46170.75,0,0.0,False,True,True,False,False
320,57.0,2,145965.33,1,1,1,64448.36,0,0.0,True,False,False,False,True
321,38.91,8,141441.75,1,1,1,16278.97,0,2.0,True,False,True,False,False
322,40.0,1,139290.41,1,1,0,182855.42,1,3.0,False,True,True,False,False
323,31.0,4,0.0,2,0,0,50404.72,0,3.0,True,False,True,False,False
324,30.0,3,0.0,2,1,0,107640.25,0,2.0,False,True,True,False,False
325,35.0,4,144428.87,1,1,0,134132.65,0,2.0,False,True,True,False,False
326,35.0,2,0.0,2,1,0,103480.69,0,1.0,False,True,True,False,False
327,46.0,9,95441.27,1,1,0,108761.05,1,1.0,True,False,True,False,False
328,38.91,1,144848.74,1,1,1,179012.3,0,2.0,False,True,False,True,False
329,26.0,7,116244.14,2,1,1,95145.14,0,1.0,False,True,False,True,False
330,50.0,7,0.0,2,0,1,72143.44,0,1.0,False,True,True,False,False
331,40.0,1,146502.07,1,1,0,19162.89,0,1.0,True,False,False,False,True
332,44.0,2,117028.6,2,0,1,144680.18,0,1.0,False,True,False,True,False
333,30.0,8,112013.81,1,1,0,177772.03,1,1.0,True,False,False,True,False
334,37.0,6,108269.37,1,1,0,5597.94,0,1.0,True,False,False,False,True
335,29.0,7,182123.79,1,1,0,116828.51,1,0.0,False,True,True,False,False
336,32.0,3,150923.74,2,0,1,174652.51,0,1.0,True,False,False,True,False
337,33.0,2,0.0,2,1,0,2010.98,0,1.0,False,True,True,False,False
338,38.91,5,165272.13,1,1,0,14109.85,1,4.0,True,False,False,False,True
339,39.0,10,115301.31,1,1,0,43527.4,1,2.0,True,False,False,True,False
340,40.0,6,129502.49,2,0,1,86099.23,1,1.0,True,False,False,True,False
341,31.0,4,118342.26,1,0,0,161574.19,0,1.0,False,True,True,False,False
342,47.0,5,0.0,2,1,1,38970.14,0,0.0,True,False,False,False,True
343,22.0,8,0.0,2,0,0,127587.22,0,0.0,False,True,True,False,False
344,25.0,7,0.0,2,1,0,30380.12,0,2.0,True,False,True,False,False
345,43.0,7,0.0,2,1,0,90908.95,0,4.0,True,False,True,False,False
346,34.0,9,106937.05,2,1,0,138275.01,0,1.0,True,False,False,True,False
347,59.0,3,170331.37,1,1,1,32171.79,0,1.0,False,True,False,True,False
348,32.0,1,114510.85,1,1,1,126143.23,0,1.0,True,False,False,True,False
